char,voice,text
yuu,fem_yuu_00017,あまりにもご機嫌で話すから、どれほど素敵なお兄さんなんだろうって、ずっと気になっていて……想いの深さの理由は、私も先日の朗読劇で知ったんですけど
yuu,fem_yuu_00018,８月のひよりんなんて凄かったんですよ！　直接会っても電話で話してもＳＮＳでも、毎日毎日毎日お兄さんの話ばかりして！　それはもうすっごい笑顔で！
yuu,fem_yuu_00019,６月まではお兄さんの日常を呟くくらいでしたけど月あたりから明らかにテンションがおかしくて！
yuu,fem_yuu_00020,九州でしたっけ？　旅行したときなんて直接メッセージ飛ばしてきて！　文字通りダイレクトメールでしたもん、それも長文で！
yuu,fem_yuu_00021,『お兄ちゃんがいま隣で寝てるんだけど、妹でも違法になる範囲ってどのへんまでかな！？』とかって！
hiy,fem_hiy_00007,てめ……ころ……
yuu,fem_yuu_00022,だから、そのころは……気持ちの根源を知らなかったので、私の憧れるひよりんが好きで好きで仕方ないお兄さんのことが気になってしまって……
yuu,fem_yuu_00023,話してみたいと思っちゃったんですよね、個人的に
yuu,fem_yuu_00024,それで、ひよりんの裏アカのフォローから辿って兄さんのＴＬをしばらく眺めてたんですけど……
yuu,fem_yuu_00025,でも、お兄さんが鍵アカからのＤＭを受けつけてなければ、個人的にメッセージ送れないなと思って……
yuu,fem_yuu_00026,開けるつもりはなかったんです、開けるつもりはなかったんですけど……メッセージ送っちゃおうかなって定画面開いちゃって……
yuu,fem_yuu_00027,そんなことできるわけないよねって冗談のつもりだったんですけど、もしお兄さんにメッセージ送るとすれば……って、文章まで考えちゃって
yuu,fem_yuu_00028,そのまま軽く居眠りしてしまって……本当にたまたま『鍵を外す』のボタンに手が触れてしまった……みたいなんですよね……
yuu,fem_yuu_00029,たった一度のうっかりで、ひよりんの役者生命を危険に晒しました。それだけではなく、無関係のお兄さんにまでご迷惑をお掛けしました
yuu,fem_yuu_00030,『うっかり』で済まされるミスではありませんでした。本当に、心からお詫びします。申し訳ありませんでした
hiy,fem_hiy_00008,仕事抜きでゆっこが興味持った男性なんて、世界でお兄くらいだぜ
hiy,fem_hiy_00009,話の内容が内容ではあったけど、少しは楽しめたかな？
hiy,fem_hiy_00010,えへへ～。もうぅ～お兄ったら、すぐのろけるぅ～ぐそうやって私を喜ばせるぅ～。私もあの瞬間が人生で一番幸せだったー。お兄とぅきー、大とぅきぃー
hiy,fem_hiy_00011,ん？　どういうなにごと？
hiy,fem_hiy_00012,んー、まあゆっこなら安全かなっていうのはあるとしてー
hiy,fem_hiy_00013,私はお兄を信じているので
hiy,fem_hiy_00014,ゆっこよりも錦さんに鼻の下伸ばすのをやめろや
hiy,fem_hiy_00015,私はお兄の選択を信じているので
hiy,fem_hiy_00016,私はもう全てをお兄に曝けだしてしまったので。私自身の隠し事なんて一つもないよ
hiy,fem_hiy_00017,そういうのは黙って買おうね！
hiy,fem_hiy_00018,というか毎晩私と二人で寝てるのに、そんなのいつ見るの？
hiy,fem_hiy_00019,ちょっとわかる！
mir,fem_mir_00001,うーっす、もうお昼ごはん食べた？　これお土産の大判焼き。二人で食べな
hiy,fem_hiy_00020,お昼は食べましたが、今川焼きもいただきますありがとうございます。わーい、見てお兄！　お芋餡あるよ芋餡！
mir,fem_mir_00002,大判焼きね
mir,fem_mir_00003,じゃあ早速だけどー……はいトモすけ、これ
mir,fem_mir_00004,や、おじさん住んでんの北関東だし仕方なくね？ーてうちも、お父さん側の親戚に会うの久しぶりく緊張したわ。はい、これ
mir,fem_mir_00005,それ、トモすけの家でずっと預かってもらっていいって。あと、二人とも元気にしてるか何回も聞かれた。謝りたそうだったよ
mir,fem_mir_00006,うん、よろしく。うちもちゃんと伝言できたみたいかるわ。つかさ
mir,fem_mir_00007,本当にそれ聞くんだよね？
mir,fem_mir_00008,そっかー……いや、うちも中身聞いたことないんだけど……つかごめん、うちは一人だと聞ける勇気ないかもしんない
mir,fem_mir_00009,二人が自分たちに必要だと思って、二人で決めたんなら大丈夫だね。うん、きっと二人の将来のために必要なんだよね。それならひばりさんたちも喜ぶよ
mir,fem_mir_00010,いっしょに聞いてあげられればいいんだけどね。ごめん、うちにはその度胸なかった。でもここにいたほうがよければ残るよ？
mir,fem_mir_00011,おけまる。ごめんね、ほらうち根性ないからさ、根性ってのも違うか
hiy,fem_hiy_00021,ううん、ここがいい。ミリさんが買ってきてくれた今川焼きあるし……
hiy,fem_hiy_00022,いつもお父さんとお母さんの声を聞いてたの、この部屋だから
hiy,fem_hiy_00023,お腹がいっぱいになれば肝だって据わる！
hiy,fem_hiy_00024,え、待って待って、まだ心の準備できてない。ごめんね資正、ちょいとケージの中にいておくれ。お兄と手だけは握ってたい
suk,etc_suk_00001,くぅ～ん
tit,man_tit_00001,妃愛を怒らせちゃったなあ……
tit,man_tit_00002,朝になれば機嫌が直ると甘く考えていたけど、ひと言も口をきいてもらえないとは思わなかった
hah,fem_hah_00001,言いかたが悪かったかなあ……ごめんなさい、咄嗟にフォローの言葉が出てこなくて
tit,man_tit_00003,咄嗟にフォローができなかったのは僕も同じだよ。あんなに怒るとは思わなかったんだ
tit,man_tit_00004,言いかたよりも順番を間違えたのかなあ……もっと智宏と一緒に過ごす時間を増やしてやるべきだったのかもしれないね
tit,man_tit_00005,最近は仕事仕事で忙しくて、家族の時間が全然作れなかった。マネージャーさんも、妃愛の心が休まらないんじゃないかと心配していたし……
hah,fem_hah_00002,私、あのマネージャーさん苦手。口では心配してくれるけど、何度お願いしても、ちっともスケジュールを調整してくれなくて……
tit,man_tit_00006,妃愛がこれほど役者の世界へのめりこんで、しかも成功するとは僕も思ってなかったからなあ……おそらく事務所側も、妃愛本人も
tit,man_tit_00007,本人が楽しんでるからと言って、仕事に関わる部分を任せきりにしすぎた気もする。親が口を挟んで露出が全くなくなった役者さんの話は、ごまんと聞くからね
tit,man_tit_00008,でも増えていく一方の仕事の量を考えても、ここで一度待ったをかけて、先行きについてよく話しあったほうがいいね。今週中に時間を作ってお会いしてくるよ
hah,fem_hah_00003,私も行く。本人が望んでいるならできるだけお仕事はさせてあげたいけど、どうしても妃愛の身体が心配だもの
hah,fem_hah_00004,無理やり休ませたら、また妃愛を怒らせちゃうかもしれないけど……
tit,man_tit_00009,それでも妃愛が一緒に暮らしている間は、僕たちがあの子を守らなくちゃいけない
hah,fem_hah_00005,うん……親として妃愛の身体が第一。それが正しいのは疑わない
hah,fem_hah_00006,でも、妃愛の気持ちと妃愛の将来のために何が一番正しいのかは、答えられる自信がないなあ
tit,man_tit_00010,これほど有名になった娘を持つ親なんて、日本中を探したってそう何人もいないだろうからね
tit,man_tit_00011,そのうえ僕たちは役者の世界と無関係の業種にいて、芸能界の常識や慣例の知識もなければ、それについて相談できる知り合いもいない
tit,man_tit_00012,もしかすると妃愛は、この先もっと……今よりもずっと有名になって、僕たちでは想像さえつかないような大女優に育つのかもしれないね
tit,man_tit_00013,僕たちが考えているよりもあの子は遥かに成長していて、実際の年齢よりも精神がずっと大人なのかもしれないなあ……
tit,man_tit_00014,大学を卒業してすぐに……ううん、もっと早い段階で家を出て、ひとり暮らしを始めてしまってもおかしくない
tit,man_tit_00015,だからこそ、妃愛がまだ家で過ごしている間に、ここへ帰ってくればいつでも妃愛を迎えいれてくれる家族がいると教えてやりたい
tit,man_tit_00016,一生懸命仕事をして、休む間もなく走りつづけて、それでもふと立ちどまったときに、ごく普通の１日を過ごせる場所を用意してやりたい
tit,man_tit_00017,二人で頑張って、特別な才能を持つあの子の、ごく普通の両親でいよう
tit,man_tit_00018,それでも妃愛が僕たちを頼れないときに……僕と君にもしもの事が、なんて大げさな話をするつもりはないけど、たとえば今日みたいに怒らせてしまったとき
tit,man_tit_00019,そんなときに智宏の存在は、きっと妃愛を助けてやれると思うんだ
tit,man_tit_00020,自分の妹がどれだけ有名になっているか、世間の反応をまだ理解できてないだけかもしれないけど……智宏は年相応の兄妹として妃愛に接してる
hah,fem_hah_00007,うん……智宏は、妃愛が自分の妹なのを鼻にかけたりもしないし、周りの子へひけらかしたりもしないで、ちゃんと妃愛を大切にしてくれてる
tit,man_tit_00021,妃愛は頭のいい子だから、いつも変わらず接してくれる存在の有り難みに、きっと自分で気づいてくれると信じてるよ
hah,fem_hah_00008,その前に、妃愛が智宏を避けつづけて、二人の仲が冷えてしまわないといいけど……
tit,man_tit_00022,そうならないように、二人が兄妹として過ごせる時間を作ろう。僕たちから二人に話しかけて、家族で会話する機会を増やせばいい
tit,man_tit_00023,妃愛がもっと小さい頃は、自分と遊んでくれる智宏くなついていたんだ。一緒に過ごす時間が増えればっとまた元の温度に戻るよ
hah,fem_hah_00009,そうだ。妃愛は家事の手伝いを始めたから、智宏にもやらせよう。二人で分担して協力し合えば、会話も増えるし、妃愛も智宏の大切さに気づくんじゃない？
tit,man_tit_00024,ああそうだね、それはいい！　僕は理想の話ばかりをして、現実に二人を会話させるためのアイデアは全くなかった。ありがとう、ひばり
hah,fem_hah_00010,ううん。妃愛を怒らせて少し落ちこんでたから、あの子たちの将来について話せてよかった。元気が出たよ、私こそありがとう
tit,man_tit_00025,家族の時間を作って、その合間に根気よく、兄妹の大切さを妃愛に伝えよう
hah,fem_hah_00011,うん……智宏にも、妃愛の好きなもの、興味のあるものの話をしてみる。妃愛がいいよって言ってくれたら、現場の同伴にも智宏を連れていきたいな
hah,fem_hah_00012,智宏と妃愛が、学生になっても、社会へ出ても、いつまでもお互いを大切にしてくれたらいいなあ……自分たちの育った家でいっしょに……
tit,man_tit_00026,はは。兄妹仲良くお互いを大切にして欲しいけど、いつかそれぞれの家庭を築いて、離れ離れに暮らすのも兄妹だよ
hah,fem_hah_00013,うん……でも、どんなに忙しくなっても、ときどきたちの家に帰ってきて、二人で顔を合わせてほしい
hah,fem_hah_00014,あの子たちがお互いの幸せを確かめあって……笑いあえる兄妹に育ってほしい
tit,man_tit_00027,あっ！
tit,man_tit_00028,智宏！
hah,fem_hah_00015,妃愛！
hiy,fem_hiy_00025,……お父さんとお母さんの望んだ形ではないかもしれないけど
hiy,fem_hiy_00026,それでも私はお兄と二人で幸せになる
hiy,fem_hiy_00027,お兄と暮らして、お兄のすぐそばで、お兄の幸せを叶えながら、自分も幸せになりたい
hiy,fem_hiy_00028,お兄とずっといっしょにいたい
hiy,fem_hiy_00029,お兄ー、１０秒以内にお風呂ー
hiy,fem_hiy_00030,お兄、１０秒ー
hiy,fem_hiy_00031,妹のお願いを無下にして観る野球は楽しい？
hiy,fem_hiy_00032,なるほど、これは重症だあ
hiy,fem_hiy_00033,今日はいっしょにお風呂入る？
hiy,fem_hiy_00034,はい１０秒、やっと体起こしてくれた。早くお風呂入りなちゃい
hiy,fem_hiy_00035,んーふふふそうかもしれない。あんまり意識してなかったんだけどね、お兄に抱きついたら瞬時に気持ちが甘くなった
hiy,fem_hiy_00036,お兄との幸せを自分自身に誓ったせいかな。もう一れないぞと思ってしまって
hiy,fem_hiy_00037,んーん。私が最低な言葉を投げたにもかかわらず、お母さんたちはずっと私の心配をして、私の幸せまで願ってくれて、嬉しかったよ
hiy,fem_hiy_00038,本音を言えばちょっと怖かったけど、二人の会話が聞けてよかった。私、幸せになっていいんだあ……ってても救われたよ
hiy,fem_hiy_00039,まあ昼間言った通り、お父さんとお母さんの望む形ではないだろうけど……それでもいま私は、お兄にこうして抱きしめてもらって幸せなので
hiy,fem_hiy_00040,私はけっこう頑固な自覚があるので、他のひとじゃ絶対駄目なんだと思う。お兄が大切なものいろいろ全部捨てて踏みこんできてくれた今となってはなおさら
hiy,fem_hiy_00041,私は今後の人生をお兄と二人で過ごして、最後の最後もし一人きりになっても、天寿を全うするその瞬間まで精一杯幸せに生きるよ
hiy,fem_hiy_00042,私がお兄の後追い自殺するってこと？
hiy,fem_hiy_00043,天命には逆らえないけど、私はできる限りお兄よりも長く生きるよ。最低でも１年は生きるよ。でないと来世でお兄の妹になれないでしょ
hiy,fem_hiy_00044,と言っても、お兄とたくさん思い出作って末永く幸せに暮らしたいので、今のはおじいちゃんおばあちゃんになってからの話ね。いっしょに長生きしよう
hiy,fem_hiy_00045,ちなみに私が先に亡くなってしまった場合は、来世においてお兄を産むので、ひとりになっても２０年は長生きしてね
hiy,fem_hiy_00046,なのでお兄は、お兄の種を冷凍保存して残しておいてね。来世において見つけてみせるさ
hiy,fem_hiy_00047,お父さんとお母さんの会話を聞いて、ますます自分の意思を固められた気がする。私はお兄と結ばれたこの幸せな人生を最期の最後まで堪能して生きるよ
hiy,fem_hiy_00048,辛い思いをしたり、悲しい思いをする日もあるだろうけど、悲観だけはせずに毎日を楽しく過ごすんだ
hiy,fem_hiy_00049,それでいよいよ私に最期の日が訪れたときは、お父さんとお母さんとお兄に『幸せだったよ』って笑いながら報告したい
hiy,fem_hiy_00050,お父さんとお母さんの分も長生きして、二人でいっぱい思い出作ろうね
hiy,fem_hiy_00051,もうなってまちゅ
hiy,fem_hiy_00052,お兄、あさー……むふー……
hiy,fem_hiy_00053,あとちょっとお兄のぬくもりの中でまどろむー……んふふふ
hiy,fem_hiy_00054,しゃーわせー……朝起きたらそこにしがみつける人のいる毎日が、これほど心地よいものだったとはー
hiy,fem_hiy_00055,こないだまでの私、よく一人で寝られてたなあ。ひとりはもう無理。朝起きて誰もいないのは寂しすぎて無理
hiy,fem_hiy_00056,うへへへお兄に甘やかされてるぅーん。はー、前と立場が逆になってしまったねえ。こんな日が来るとはなあ。私自身、甘えたがりという自覚がなかったからなあ
hiy,fem_hiy_00057,せっかくなので甘えてしまおう。ぎゅうしてぎゅうして
hiy,fem_hiy_00058,うひへへへ幸せすぎるぅー。こんなに安心して毎日が過ごせるなら、もっと早くお兄の部屋で寝かせてもらえばよかった
hiy,fem_hiy_00059,ほんとだ。なんか理由でもない限り、お願いしたあとにめっちゃ後悔しそう。というか、そんなお願いできる勇気など私にあるはずなかった
hiy,fem_hiy_00060,ボランティア合宿のときみたいな、たまーにいっしょのお布団で寝てドキドキするのも楽しかったけどね！
hiy,fem_hiy_00061,甘えてるぅー……これからいっぱい甘えてしまおう兄に甘えられなかった時間をたくさん取りもどしてしまおう
hiy,fem_hiy_00062,んー、お兄に悪いことした自覚あったし……や、子どものころはね。今は許してもらったので、こうして甘えられてる
hiy,fem_hiy_00063,あとお兄に甘えて欲しかったので、自分がしっかりしなければと気張ってた部分はある。や、好きでやってたんだけどね。なのでぜんぜん無理はしてない
hiy,fem_hiy_00064,お兄からありがとうと言われるたびに、心と身体が少し軽くなるみたいで……なので甘えてもらえると、その日１日は心安らかに過ごせましたもの
hiy,fem_hiy_00065,うへへへお互い甘えて甘甘だあ。私も甘える、ぎゅうー……
hiy,fem_hiy_00066,あ、玄関の鍵が開く音した
mir,fem_mir_00012,おはよーっ！　今日は随分とゆっくりじゃん。ひよりんにしては珍しくない？　寝坊かー？
hiy,fem_hiy_00067,いやははぐっすりと眠りこけてしまったみたいですろそろ朝の支度をしなければいけない時間なので助かりました
mir,fem_mir_00013,そか。ぐっすり眠れるほど安心して寝られたならよかったじゃん。トモすけが頼れるお兄ちゃんに育ってくれて、うち嬉しいわ
hiy,fem_hiy_00068,ミリさん、朝ごはんいっしょに食べていきますれなら３人分作るのですが
mir,fem_mir_00014,あ、ごめん。うち焼き鳥食べちゃった
mir,fem_mir_00015,ひよりんに１個だけ確認とりたくて寄っただけなんだ。今日の放課後、生徒会出る？
hiy,fem_hiy_00069,あ、出ます出ます。というか、出ていいのかしらワタクシ
hiy,fem_hiy_00070,先輩は一応受験生だけどもね。とはいえそんな心配のいらなそうなところがまた
mir,fem_mir_00016,おけまる～。や、今日は実質的な活動初日だから親睦会やるよ。んで、用意するたこ焼きの数確かめたかったわけ。おけまる？
hiy,fem_hiy_00071,年少組が買い出し行きましょうか？
mir,fem_mir_00017,ひよりんはトモすけがテンパらないように、うちが戻るまで場の空気温めてあげて。あとほら、すみぴっぴも同じ学年の子相手に萎縮しちゃわないようにさ
hiy,fem_hiy_00072,おけまるです！
mir,fem_mir_00018,や、二人とも元気そうで安心した。昨日のドラレコ見て落ちこんでないか、実は心配だったからさ
hiy,fem_hiy_00073,あーそれは……ご心配をおかけしました
mir,fem_mir_00019,ま！　２人の絆があれば乗りこえられるんじゃねは思ってたけどねー。ごめんね、今のは余計だった
mir,fem_mir_00020,とりま今日の放課後は、ひよりんとしおぽよの分のたこ焼きも買っとくからさ。急な仕事入ったらトモすけが食べるんで無理しなくていいからね。ヨロー
hiy,fem_hiy_00074,今日から新生生徒会始動かあ……
hiy,fem_hiy_00075,よーっし今日からまた１年間、お兄のもとで元副会長兼部外者がんばるぞ！
hiy,fem_hiy_00076,新人２人がかわいらしい女の子だったので、お兄の鼻から下の伸び具合を確かめにいく必要もあるしね！
hiy,fem_hiy_00077,あ、てゆか朝の時間ヤバめ。急いでごはんの準備してくる
hiy,fem_hiy_00078,ん？　うん。じゃなくて、はい
hiy,fem_hiy_00079,あまりの甘さに妃愛は溶けてしまいそうです
hiy,fem_hiy_00080,いっ、いあ、むしろみなぎった！　やる気チャージしてもらった！
hiy,fem_hiy_00081,でも不意打ちは予想外だったので、いつものキスよりドキドキしてしまった……もうお兄ったら、すぐそうやって私をドキドキさせるぅ～
hiy,fem_hiy_00082,えへへ、お兄好きぃ～。大好きぃ～。おはようからおやすみまで好きぃ～。生まれてからずっと好きぃ～兄の妹に生まれてよかったあ
hiy,fem_hiy_00083,目玉焼きうめー！　今日の半熟具合は完璧だな、さすがは私ガハハ！
hiy,fem_hiy_00084,今日のふりかけはのりたまご～。ひよひよ～
hiy,fem_hiy_00085,じゃあ資正、いってくるね。今日もお留守番お願いね
suk,etc_suk_00002,くぅ～ん
hiy,fem_hiy_00086,お兄がエスコートしてくれるので最近は登校が楽しいなあ。今日も妃愛を守ってぇ～ん
hiy,fem_hiy_00087,そんな申し出をしたら、マネージャーさんが毎日お迎えに来るのでダメどす。お兄と二人がよいので
hiy,fem_hiy_00088,うんー！　私もできるだけ授業休まないー！　放課後お兄に会いたいから、継ぎ接ぎでも積極的に登校するー！
hiy,fem_hiy_00089,じゃあいってきまーす
hiy,fem_hiy_00090,あーうん、誰だろう。たぶんお父さんとお母さん
kan,fem_kan_00001,おはよ
ame,fem_ame_00001,おはよーっ！　ねねね今日の放課後、親睦会やるっリせんせーから言われたよ
ame,fem_ame_00002,私も参加していいのかなあ？
ame,fem_ame_00003,う、うんー。でも、初日とかは正式な役員だけで集まったりするのかなーって思ってさー
ame,fem_ame_00004,ふわっ……うえーん、ありがとかいちょー！　かいちょーにそう言ってもらえるなら、私、これからもがんばれそう！
kan,fem_kan_00002,ていうか、なんでアメリはそんなに遠慮がちなの段はもっとグイグイくるでしょ
ame,fem_ame_00005,みんな立候補して選挙活動したのに、私だけ何もしなかったのを気にしてるみたいな？
ame,fem_ame_00006,うわーん、かいちょーすっごく優しい！　嬉しいよりがとー！
hir,man_hir_00001,和泉って竜閑さん相手には紳士だよね
kan,fem_kan_00003,あんたの英語の成績、私と大してかわらないでしょもそもロンドンに行ったことすらなさそう
ame,fem_ame_00007,かいちょー頼れるし優しいし紳士なのわかるーリジャンよりジョンブル感ある！
hir,man_hir_00002,やっぱり竜閑さんには当たりが柔らかいよね？
kan,fem_kan_00004,副会長の常磐です。まあほとんど見知った顔だし、あと１年よろしくね。はい、終わり
asu,fem_asu_00001,書記の錦です。臨時で務めた半年間の生徒会活動が楽しかったので立候補しました。和泉会長、また１年よろしくお願いします
kna,fem_kna_00001,はい！
kna,fem_kna_00002,生徒会の先輩方はじめまして、１－Ｂの『神田柑凪』です！　今年の文化祭では、クラスの実行委員をやってました
kna,fem_kna_00003,生徒会に立候補したのは、文化祭の運営をがんばってる役員のみなさんを見て応援したくなったのと、舞台の朗読劇を観て感動したのが主な理由です！
kna,fem_kna_00004,選挙なんて初めて出たので、すごく緊張しましたも当選したときは嬉しかったです！
kna,fem_kna_00005,選挙で選ばれたからには１年間全力でがんばりまする気いっぱいです、よろしくお願いします！
ina,fem_ina_00001,先輩がた、はじめまして。柑凪ちゃ……神田さんと同じクラスの『飯田伊々奈』です
ina,fem_ina_00002,私も生徒会のみなさんの舞台を観て感動しました。それで、神田さんと相談して、自分たちも参加したいと思ったんです
ina,fem_ina_00003,それと、文化祭の実行委員をしていたときに、和泉会長が親切にしてくださったので、和泉会長がまた会長を務めるのならと、思い切って立候補しました
ina,fem_ina_00004,あ、よろしくお願いしますっ！
mir,fem_mir_00021,２人は仲良さそうだけど、うちのガッコで知りあったん？
ina,fem_ina_00005,あ、いいえ。前と、その前の学校も同じでしたも近所なんです
kna,fem_kna_00006,小っちゃいころからいっしょに行動してたので、選挙でどっちか落ちたらどうしようって、結果が出るまで２人して緊張してました
ame,fem_ame_00008,２－Ａの竜閑です！　えっと私は放課後に読モの活動もしてて、お手伝いって形で参加させてもらってるんだけど……
kna,fem_kna_00007,アメリ先輩、すっごく有名ですよね！　いつも雑誌で見てました。うちのクラスにファンの子いっぱいいます！
ame,fem_ame_00009,えーっ嬉しい嬉しい、ありがとー！　えっ神田さんンちゅたとかやってる？　あとでアカウント教えて！
shi,fem_shi_00001,３年の鎌倉詩桜だ。私のことは名字ではなく、名前で呼んでもらいたい。和泉君の前に会長を務めていた関係で、ここへは引き継ぎに来ている
ina,fem_ina_00006,鎌倉会長、私たちの入学式で挨拶を務めてくださいましたよね。坂口安吾の言葉を引用した先輩のご挨拶、今でも覚えています
shi,fem_shi_00002,ん、私の挨拶を覚えているのか。引用元にも気づいていたとは嬉しいな。そうか、わかる新入生がいたのか
hiy,fem_hiy_00091,えー、前副会長の和泉妃愛です。みなさんご存知の通り、そこへ鎮座する会長はうちの兄です
hiy,fem_hiy_00092,私も普段は放課後に仕事がありまして、空いた日にお手伝いという形での参加になりますが、どうぞよろしくしてやってくださ――
kna,fem_kna_00008,和泉さんの朗読劇、本当によかった！　あとから投稿してた動画、わたし何度も観てるよ
ina,fem_ina_00007,兄妹で生徒会できるのっていいなあ。あの朗読劇の内容だもんね、和泉会長との関係憧れちゃうなあ
hiy,fem_hiy_00093,あっ二人ともすごく優しい。仲良くできそう
mir,fem_mir_00022,ひと通り自己紹介は済んだかんじ？　それじゃこのあとはたこ焼きでも食べつつ、今日はみんなで仲良くおしゃべりでもしよっか！
kna,fem_kna_00009,あ、お皿配ります！
ina,fem_ina_00008,私はお茶を淹れます
asu,fem_asu_00002,ええと、このポットと急須、コップは生徒会の備品で……ただ私たちは、経費削減のために自分たちの湯呑みを持参していて……
asu,fem_asu_00003,このチェックの柄がアメリ先輩で、ひよこの柄がひより……和泉さんの。見るからに高級な萩焼の湯呑みが詩桜先輩で、雪だるまの柄は私の……
ina,fem_ina_00009,えーと、こっちが竜閑先輩で、こっちが錦さん…りがとう
ina,fem_ina_00010,このキャラクターものの湯呑みはどなたの持ち物ですか？　アニメ……ゲームの女の子？
asu,fem_asu_00004,そ、それはええと……和泉、会長の
kna,fem_kna_00010,私、この子知ってる！　和泉さんが声をあててるキャラだよ。和泉会長は和泉さんだけじゃなくて、和泉さんの担当してるキャラまで大事にしてるんですね
ina,fem_ina_00011,わあ、妹さん想いだなあ。いいな、いいな。和泉さんには大切にしてくれるお兄さんがいていいな！
hiy,fem_hiy_00094,でへへへへ
kan,fem_kan_00005,わ、私もひよりんが大好きでっ、ついひよりんのキャラグッズを……！
kna,fem_kna_00011,私もこの湯呑み欲しいです！　あ、でも……それだと見分けつかなくなっちゃいそう。私は家で使いますね
ina,fem_ina_00012,私も買います！　どこへ行けば購入できるか、あとで教えていただけますか？
hiy,fem_hiy_00095,あ、和泉さんと和泉会長だと混乱すると思うのでよりんでいいよー。というかむしろそう呼んでー
kna,fem_kna_00012,えっいいのかな。でもそのほうがいいなら、うんろしくね、ひよりん
mir,fem_mir_00023,そんなお固い生徒会じゃないからさー、かしこまらずに仲良くすればいいし。神田ちゃん飯田ちゃんがお互いを呼ぶときも、普段通りあだ名でいいみたいな？
asu,fem_asu_00005,この茶葉は詩桜先輩が用意してくださったものだから、普段はこっちのティーバッグを使ってもらいたいんだ。先輩がいいよって言ったときだけ、急須で
ina,fem_ina_00013,うんわかった。ありがとう、錦さん
kna,fem_kna_00013,和泉会長の分のたこ焼き、お皿にのせてきましたべてください！
ina,fem_ina_00014,どうぞ、和泉会長のお茶です。も、もし熱すぎたらごめんなさい
kna,fem_kna_00014,あっ。ひよりん、歯に青のり付いてるいの？　アイドル？
hiy,fem_hiy_00096,わたしアイドルじゃないしなあ。そもそもここ仕事場じゃないし、知ったことかげっふぅーい
kna,fem_kna_00015,あははは！　芸能人がおなかさすってる、あははは！
ina,fem_ina_00015,あははっ！　でも、どんなに表情崩しても、どの角度から見ても、顔が整ってるのすごいなあ。憧れちゃうな
hiy,fem_hiy_00097,これだけの醜態晒して憧れられるとは思わなかったれならもっとだらしなく振るまっても大丈夫かなあ、おなかぽんぽん
asu,fem_asu_00006,ぜんぜんふくらんでないのに。えい、おなかぽんぽん
hiy,fem_hiy_00098,叩くな叩くな。清純派声優だぞ
